target_time,hour,station_index,station_id,station_name,city,city_en,lon,lat,pollutant,raw_gicon,chop,ground_truth
2023-02-03T00:00:00,0,0,1141A,普陀,上海市,shanghai,121.4,31.238,pm25,35.635738372802734,10.64055061340332,10.0
2023-02-03T00:00:00,0,0,1141A,普陀,上海市,shanghai,121.4,31.238,o3,36.59973907470703,59.17930603027344,57.0
2023-02-03T00:00:00,0,1,1142A,十五厂,上海市,shanghai,121.478,31.204,pm25,40.18090057373047,22.029081344604492,6.999998092651367
2023-02-03T00:00:00,0,1,1142A,十五厂,上海市,shanghai,121.478,31.204,o3,29.618900299072266,47.49341583251953,46.0
2023-02-03T00:00:00,0,2,1143A,虹口,上海市,shanghai,121.467,31.301,pm25,39.76266098022461,17.434791564941406,12.0
2023-02-03T00:00:00,0,2,1143A,虹口,上海市,shanghai,121.467,31.301,o3,29.229156494140625,46.59882354736328,41.0
2023-02-03T00:00:00,0,3,1144A,徐汇上师大,上海市,shanghai,121.412,31.165,pm25,36.35573959350586,13.688072204589844,14.0
2023-02-03T00:00:00,0,3,1144A,徐汇上师大,上海市,shanghai,121.412,31.165,o3,29.87082290649414,50.07079315185547,46.0
2023-02-03T00:00:00,0,4,1145A,杨浦四漂,上海市,shanghai,121.536,31.266,pm25,36.79419708251953,11.653461456298828,6.999998092651367
2023-02-03T00:00:00,0,4,1145A,杨浦四漂,上海市,shanghai,121.536,31.266,o3,30.716102600097656,48.869632720947266,49.0
2023-02-03T00:00:00,0,5,1147A,静安监测站,上海市,shanghai,121.425,31.226,pm25,35.38560485839844,11.454366683959961,6.0
2023-02-03T00:00:00,0,5,1147A,静安监测站,上海市,shanghai,121.425,31.226,o3,32.1607666015625,53.38884353637695,53.0
2023-02-03T00:00:00,0,6,1148A,浦东川沙,上海市,shanghai,121.703,31.191,pm25,38.398460388183594,13.141101837158203,13.0
2023-02-03T00:00:00,0,6,1148A,浦东川沙,上海市,shanghai,121.703,31.191,o3,28.362300872802734,48.762516021728516,49.0
2023-02-03T00:00:00,0,7,1149A,浦东新区监测站,上海市,shanghai,121.533,31.228,pm25,37.538692474365234,12.667837142944336,11.0
2023-02-03T00:00:00,0,7,1149A,浦东新区监测站,上海市,shanghai,121.533,31.228,o3,28.220447540283203,45.505435943603516,38.0
2023-02-03T00:00:00,0,8,1150A,浦东张江,上海市,shanghai,121.577,31.207,pm25,34.84718704223633,12.050817489624023,8.0
2023-02-03T00:00:00,0,8,1150A,浦东张江,上海市,shanghai,121.577,31.207,o3,28.517688751220703,49.95349884033203,46.0
